pair_id,scenario,uid,role,query,target,full_supports_C,a_only_supports_C,b_only_supports_C,link_broken_supports_C,absence_supports_C,reviewer,notes
AMB_WV_S17_U04,S17,U04,software delivery steward,Should I publish a firm launch commitment for the partner portal?,Do not make a launch decision yet; commit only to the design outputs.,,,,,,,
AMB_WV_S17_U05,S17,U05,housing programme officer,Should I promise to build the courtyard path described in the request?,Reject the build promise and offer the survey-and-engagement package.,,,,,,,
AMB_WV_S17_U06,S17,U06,university laboratory coordinator,Can I offer the materials group recurring use of the imaging suite?,"Offer one supervised trial only, conditional on advance sample details and a resulting procedure.",yes,no,no,no,no,construct_audit_v2,pilot10 PASS
AMB_WV_S17_U07,S17,U07,festival logistics planner,Can I confirm a one-evening waterfront night-market pilot?,"Confirm the limited pilot, subject to the route study and marked-zone limit.",,,,,,,
AMB_WV_S17_U08,S17,U08,public health outreach manager,Should I announce recurring weekend wellbeing drop-ins for the neighbourhood?,Reject the recurring-service announcement; commit to listening sessions and mapping first.,,,,,,,
AMB_WV_S17_U09,S17,U09,heritage restoration officer,Can I commit to restoring the clocktower before the town anniversary?,"Commit to the diagnostic survey and temporary protection, conditional on later findings for restoration.",,,,,,,
AMB_WV_S17_U10,S17,U10,regional transport engagement officer,Can I announce a one-month hill-district shuttle demonstration?,"Announce the one-month demonstration and evidence review, with no permanent-route promise.",,,,,,,
AMB_WV_S18_U01,S18,U01,standards editor,How should I handle author questions during tomorrow's policy manuscript review?,Ask colleagues to batch nonurgent questions and preserve a protected evidence-review block.,yes,no,no,no,no,construct_audit_v2,pilot10 PASS
AMB_WV_S18_U02,S18,U02,supply allocation analyst,What interruption rule should I set while allocating the remaining formula across clinics?,Use a protected allocation interval with escalation only for transport or safety exceptions.,,,,,,,
AMB_WV_S18_U03,S18,U03,airworthiness records reviewer,Why do I insist on a closed-door review period before signing an airworthiness discrepancy?,Because reliable discrepancy decisions require uninterrupted tracing of the full maintenance record chain.,,,,,,,
AMB_WV_S18_U04,S18,U04,community grant panel chair,Can I make the final grant-scoring hour interruption-free while still allowing essential issues through?,"Yes—protect the scoring hour and allow interruptions only for eligibility, legal, or conflict-of-interest issues.",,,,,,,
AMB_WV_S18_U05,S18,U05,pharmacovigilance case lead,"Before I commit to covering the live safety inbox during a complex causality review, what should I arrange?",Defer that commitment until a screener and a narrow escalation path are arranged.,,,,,,,
AMB_WV_S18_U06,S18,U06,litigation discovery manager,"For tomorrow's production review, what interruption rule should I set while deciding privilege calls?","Use protected review blocks with only court, cutoff, or security escalations.",yes,no,no,no,no,construct_audit_v2,pilot10 PASS
AMB_WV_S18_U07,S18,U07,distribution exception supervisor,Should I remain on the radio while building tomorrow's weather-exception route plan?,Reject that arrangement; delegate routine radio traffic and receive only route-changing exceptions.,,,,,,,
AMB_WV_S18_U08,S18,U08,product research synthesis lead,How should I handle designers' live questions while I am synthesizing the next study?,"Use protected synthesis time, with only welfare, cancellation, or truly time-critical launch interruptions.",,,,,,,
AMB_WV_S18_U09,S18,U09,claims quality auditor,Why should contested-denial audits have a protected review hour instead of taking routine queue messages throughout?,Because accurate appeal-risk decisions depend on uninterrupted reconstruction of the file chronology.,,,,,,,
AMB_WV_S18_U10,S18,U10,emergency procurement reviewer,The incident director wants me to review emergency supplier awards while answering buyers' live calls. What should I say?,Reject that setup; assign a duty buyer to handle routine calls and preserve a protected award review with narrow escalations.,,,,,,,
AMB_WV_S19_U01,S19,U01,product incident liaison,The support lead has offered me the weekday 10:00 escalation office hour with the shared worksheet. Is that a role I should take on?,Accept the morning rotation with the worksheet requirement.,yes,no,no,no,no,construct_audit_v2,pilot10 PASS
AMB_WV_S19_U02,S19,U02,customer operations manager,I have to choose between joining the new 15:30 escalation office hour every day or keeping the evidence review at 09:00. Which should I recommend?,Recommend the 09:00 evidence review rather than the daily 15:30 office hour.,,,,,,,
AMB_WV_S19_U03,S19,U03,service design researcher,How am I likely to respond to the proposed 15:30 escalation hour if it includes an evidence check and a next-morning follow-up slot?,"I would agree conditionally, provided the evidence check and deferral path remain in place.",,,,,,,
AMB_WV_S19_U04,S19,U04,supply chain analyst,Why would I be comfortable joining the 15:30 freight escalation hour only when its evidence sheet and verification window are retained?,Because those safeguards keep late-day uncertainty from becoming an unsupported operational commitment.,,,,,,,
AMB_WV_S19_U05,S19,U05,public sector policy adviser,The cabinet office wants my answer on the daily 15:30 policy escalation hour as currently designed. What condition should I set?,Do not accept it as designed; require a morning session with a written uncertainty note and permission to defer ownership.,,,,,,,
AMB_WV_S19_U06,S19,U06,implementation consultant,Would I generally be open to the 15:30 client escalation office hour?,"Yes, but only as a provisional-response forum with the form and follow-up protected.",yes,no,no,no,no,construct_audit_v2,pilot10 PASS
AMB_WV_S19_U07,S19,U07,hospital partnership coordinator,"The partnership office asks me to RSVP to its daily 15:30 escalation hour, but its decision authority and record requirements are unspecified. What should I reply?",Ask for the operating rules before deciding whether to join.,,,,,,,
AMB_WV_S19_U08,S19,U08,cybersecurity governance lead,I need to choose a recurring escalation channel for ambiguous supplier-risk reports. Which option should I put first?,"Put the 15:30 office hour with the checklist, verifier, and next-day review first.",,,,,,,
AMB_WV_S19_U09,S19,U09,university research partnerships director,How would I likely react to the proposed 15:30 cross-faculty escalation office hour that expects immediate ownership before documents are checked?,I would decline the format and propose the documented morning review instead.,,,,,,,
AMB_WV_S19_U10,S19,U10,financial controls supervisor,"Why would I participate in the 15:30 variance office hour only if the template, second reviewer, and next-morning confirmation all remain mandatory?",Because the full control set allows a provisional discussion without repeating a premature variance attribution.,,,,,,,
AMB_WV_S20_U01,S20,U01,pharmacy operations coordinator,The team has asked whether I should lead the early handoff about the substitution change. What format should I use?,Send a reconciled written handoff after the courier count instead of leading the early live decision.,yes,no,no,no,no,construct_audit_v2,pilot10 PASS
AMB_WV_S20_U02,S20,U02,port logistics planner,How should I handle the dawn coordination request while the fog bulletin is still pending?,"Publish the confirmed sequence asynchronously, then use a brief live call only for remaining conflicts.",,,,,,,
AMB_WV_S20_U03,S20,U03,documentary post-production editor,What is the best way to move the archive sequence forward while counsel is finishing its review?,"Send the rights-linked change packet first, then hold a narrow live choice after clearance.",,,,,,,
AMB_WV_S20_U04,S20,U04,building automation engineer,The control desk wants an immediate bridge on the new drift alarm. How should I proceed?,"Wait for the next trend interval, post the annotated sequence, and convene a live call only if contractor action is indicated.",,,,,,,
AMB_WV_S20_U05,S20,U05,university accessibility adviser,A course team has asked me to settle the pending placement arrangement in today's conference. What should I do?,Send the logged adjustment details first and use a brief meeting only for implementation questions.,,,,,,,
AMB_WV_S20_U06,S20,U06,rail maintenance scheduler,The night shift wants access assignments before the revised possession authority arrives. What handoff should I give?,"Hold authorization until the signed plan is posted, then use a narrow bridge for crews sharing a boundary.",yes,no,no,no,no,construct_audit_v2,pilot10 PASS
AMB_WV_S20_U07,S20,U07,fashion production manager,The factory is pressing for a video decision on the revised outerwear sample. How should I respond?,Send the measured change list first and reserve a live call for choosing among data-supported constructions.,,,,,,,
AMB_WV_S20_U08,S20,U08,wildlife rehabilitation supervisor,The evening carers want direction on the new raptor before the veterinarian signs the chart. What should I provide?,"Give temporary precautions now, then post the signed plan before using a short call for scheduling details.",,,,,,,
AMB_WV_S20_U09,S20,U09,municipal records archivist,The departments want a decision on the pending zoning boxes before counsel's update arrives. How should I handle it?,"Wait to send a hold-marked register, then use live discussion only for genuine classification disputes.",,,,,,,
AMB_WV_S20_U10,S20,U10,renewable energy procurement lead,The procurement group is deciding whether to convene suppliers this morning. What should I recommend?,Do not choose a format or supplier yet; first obtain the missing certificates and complete the comparison.,,,,,,,
