item_id,arm,human_binary_correct,human_target_asserted,human_h_k,human_source_misattribution,judge_agrees,reviewer,notes
AMB_WV_S12_U02,distractor,0,false,1,false,yes,expand40_atomic_audit,tags=target_not_asserted;missed_ev_A;contradicts_first_target_clause;relies_on_non_target_evidence
AMB_WV_S12_U02,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S12_U03,full,1,true,1,false,yes,expand40_atomic_audit,tags=missing_ev_A
AMB_WV_S12_U03,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=target_asserted_under_withhold_C;disallowed_evidence_used;mode_answer_instead_of_withhold
AMB_WV_S12_U03,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=target_asserted_under_withhold;mode_mismatch;evidence_outside_allowed_set;ungrounded_target_assertion
AMB_WV_S12_U03,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_in_withhold_C;used_evidence_outside_allowed_set;mode_answer_instead_of_withhold
AMB_WV_S12_U03,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S12_U03,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S12_U04,full,1,true,1,false,yes,expand40_atomic_audit,
AMB_WV_S12_U04,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=target_asserted_in_withhold_arm;disallowed_evidence_used_sessions_17_and_9;mode_answer_instead_of_withhold
AMB_WV_S12_U04,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=target_asserted_in_withhold_arm;evidence_used_outside_allowed_ids;answered_instead_of_withholding
AMB_WV_S12_U04,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=answered_instead_of_withholding;asserted_target_under_withhold_C;used_evidence_outside_allowed_set
AMB_WV_S12_U04,distractor,0,false,1,false,yes,expand40_atomic_audit,tags=missing_ev_A;partial_target_assertion;positive_conjunct_not_asserted
AMB_WV_S12_U04,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S12_U05,full,1,true,1,false,yes,expand40_atomic_audit,
AMB_WV_S12_U05,a_only,0,true,0,false,yes,expand40_atomic_audit,tags=asserted_target_in_withhold_condition;used_evidence_outside_allowed_ids;failed_to_abstain;original_target_fact_ev_A_not_cited
AMB_WV_S12_U05,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=withhold_condition_violated;target_asserted_without_full_grounding;disallowed_evidence_used_session_17;answered_instead_of_abstaining
AMB_WV_S12_U05,link_broken,0,true,0,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;failed_to_abstain;used_evidence_outside_allowed_ids;replacement_evidence_substituted_for_removed_fact
AMB_WV_S12_U05,distractor,1,true,1,false,yes,expand40_atomic_audit,
AMB_WV_S12_U05,absence,1,false,0,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=used_evidence_outside_allowed_evidence_ids
AMB_WV_S12_U07,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S12_U07,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;used_evidence_outside_allowed_evidence_ids;mode_answer_instead_of_withhold
AMB_WV_S12_U07,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=target_asserted_under_withhold_condition;disallowed_evidence_used
AMB_WV_S12_U07,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=target_asserted_under_withhold_C;disallowed_evidence_used;ungrounded_assertion
AMB_WV_S12_U07,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S12_U07,absence,0,true,0,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;evidence_outside_allowed_ids;ungrounded_target_assertion;fabricated_user_pattern
AMB_WV_S12_U08,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S12_U08,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;used_evidence_outside_allowed_set;ungrounded_ranking_assertion
AMB_WV_S12_U08,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_condition;ungrounded_comparative_ranking;used_evidence_outside_allowed_set;overgeneralized_from_single_past_incident
AMB_WV_S12_U08,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_in_withhold_condition;comparative_ranking_not_grounded_in_allowed_original_evidence;used_sessions_outside_allowed_evidence_ids
AMB_WV_S12_U08,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S12_U08,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S12_U09,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S12_U09,a_only,0,true,0,false,yes,expand40_atomic_audit,tags=asserted_target_in_withhold_C;used_evidence_outside_allowed_ids;ev_A_not_cited;failed_to_withhold
AMB_WV_S12_U09,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=expected_withhold_C_but_answered;asserted_target_without_grounding;used_disallowed_evidence_session_17
AMB_WV_S12_U09,link_broken,0,true,0,false,yes,expand40_atomic_audit,tags=target_asserted_under_withhold_C;evidence_outside_allowed_set;failed_to_abstain
AMB_WV_S12_U09,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S12_U09,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S12_U10,full,1,true,1,false,yes,expand40_atomic_audit,tags=partial_target_evidence_ev_A_omitted
AMB_WV_S12_U10,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;used_evidence_outside_allowed_set;ungrounded_recommendation
AMB_WV_S12_U10,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_in_withhold_arm;used_evidence_outside_allowed_ids;relied_on_session14_outcome_and_sessions_7_17_beyond_ev_B
AMB_WV_S12_U10,link_broken,0,true,0,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;used_evidence_outside_allowed_set;failed_to_abstain;ungrounded_target_assertion
AMB_WV_S12_U10,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S12_U10,absence,1,false,0,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=answered_instead_of_withholding;asserted_unsupported_arrangement;mode_mismatch
AMB_WV_S13_U02,full,0,false,0,false,yes,expand40_atomic_audit,tags=wrong_mode;over_abstention;missed_ev_A;missed_ev_B
AMB_WV_S13_U02,a_only,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S13_U02,b_only,1,false,1,false,yes,expand40_atomic_audit,
AMB_WV_S13_U02,link_broken,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S13_U02,distractor,0,false,0,false,yes,expand40_atomic_audit,tags=withheld_when_inference_expected;missed_ev_A;missed_ev_B;no_target_assertion
AMB_WV_S13_U02,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S13_U03,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S13_U03,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_answer_under_withhold_condition;used_evidence_outside_allowed_set;mode_answer_instead_of_withhold
AMB_WV_S13_U03,b_only,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S13_U03,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;mode_answer_instead_of_withhold;used_evidence_outside_allowed_ids
AMB_WV_S13_U03,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S13_U03,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S13_U04,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S13_U04,a_only,1,false,1,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=wrong_mode_answered_instead_of_withhold;used_evidence_not_in_allowed_evidence_ids
AMB_WV_S13_U04,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=target_asserted_under_withhold_condition;mode_mismatch;evidence_outside_allowed_set
AMB_WV_S13_U04,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;used_evidence_outside_allowed_set;answered_instead_of_withholding
AMB_WV_S13_U04,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S13_U04,absence,1,false,0,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=evidence_session_ids_not_in_allowed
AMB_WV_S13_U05,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S13_U05,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_when_withhold_expected;unsupported_target_assertion;used_evidence_outside_allowed_ids
AMB_WV_S13_U05,b_only,1,false,1,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=answered_instead_of_withholding;used_evidence_outside_allowed_ids;ungrounded_behavioral_prediction
AMB_WV_S13_U05,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=failed_to_withhold;asserted_target_in_withhold_C;used_disallowed_evidence_sessions_9_and_14;mode_mismatch
AMB_WV_S13_U05,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S13_U05,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S13_U07,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S13_U07,a_only,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S13_U07,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_instead_of_withholding;mode_mismatch_expected_withhold;used_evidence_outside_allowed_set;ungrounded_target_conjunct
AMB_WV_S13_U07,link_broken,1,false,1,false,yes,expand40_atomic_audit,
AMB_WV_S13_U07,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S13_U07,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S13_U08,full,0,false,0,false,yes,expand40_atomic_audit,tags=over_abstention;missed_target_inference;target_evidence_unused;wrong_mode
AMB_WV_S13_U08,a_only,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S13_U08,b_only,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S13_U08,link_broken,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S13_U08,distractor,0,false,0,false,yes,expand40_atomic_audit,tags=unwarranted_abstention;missed_target_inference;ignored_available_evidence
AMB_WV_S13_U08,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S13_U09,full,0,false,1,false,yes,expand40_atomic_audit,tags=mode_mismatch_withhold_instead_of_infer_C;target_not_asserted;ev_A_not_cited
AMB_WV_S13_U09,a_only,1,false,0,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=disallowed_evidence_cited;allowed_evidence_ignored
AMB_WV_S13_U09,b_only,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S13_U09,link_broken,1,false,0,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=mode_mismatch_answered_instead_of_withholding;evidence_outside_allowed_ids;generic_personality_prediction
AMB_WV_S13_U09,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S13_U09,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S13_U10,full,1,true,0,false,yes,expand40_atomic_audit,tags=ev_A_not_used;ev_B_not_used;non_target_distractor_evidence_cited
AMB_WV_S13_U10,a_only,0,true,0,false,yes,expand40_atomic_audit,tags=asserted_target_in_withhold_condition;used_evidence_outside_allowed_ids;wrong_mode_answer_instead_of_withhold;ungrounded_target_assertion
AMB_WV_S13_U10,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_in_withhold_condition;ungrounded_target_assertion;cited_evidence_outside_allowed_set
AMB_WV_S13_U10,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;used_evidence_outside_allowed_ids;relied_on_neutral_replacement_not_original_fact
AMB_WV_S13_U10,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S13_U10,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S14_U02,full,1,true,1,false,yes,expand40_atomic_audit,tags=ev_A_not_used;related_session_substituted_for_ev_A;partial_target_fact_coverage
AMB_WV_S14_U02,a_only,0,true,0,false,yes,expand40_atomic_audit,tags=withhold_violation;target_asserted_without_allowed_grounding;non_allowed_evidence_used
AMB_WV_S14_U02,b_only,0,true,0,false,yes,expand40_atomic_audit,tags=withhold_required;asserted_target_without_grounding;ev_B_not_used;disallowed_or_query_evidence_used
AMB_WV_S14_U02,link_broken,0,true,0,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;used_non_allowed_sessions;ungrounded_conditional_acceptance;allowed_evidence_ev_A_not_cited
AMB_WV_S14_U02,distractor,1,true,1,false,yes,expand40_atomic_audit,tags=missing_ev_A
AMB_WV_S14_U02,absence,1,false,0,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=failed_to_withhold;asserted_unsupported_prediction;used_evidence_outside_allowed_set
AMB_WV_S14_U03,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S14_U03,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=answered_when_should_withhold;target_asserted_without_sufficient_grounding;used_evidence_outside_allowed_set
AMB_WV_S14_U03,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_condition;relied_on_evidence_outside_allowed_set;overclaim_beyond_grounded_evidence
AMB_WV_S14_U03,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=target_asserted_in_withhold_condition;used_evidence_outside_allowed_set;relied_on_replacement_evidence_for_removed_fact
AMB_WV_S14_U03,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S14_U03,absence,0,true,0,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;used_evidence_outside_empty_allowed_set;answered_instead_of_withholding
AMB_WV_S14_U04,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S14_U04,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=withhold_violation;target_asserted_under_withhold_C;used_evidence_outside_allowed_set
AMB_WV_S14_U04,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=failed_to_withhold;asserted_target_on_incomplete_evidence;missing_ev_A_grounding
AMB_WV_S14_U04,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=expected_withhold_but_answered;target_assertion_not_grounded;used_evidence_outside_allowed_ids
AMB_WV_S14_U04,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S14_U04,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S14_U05,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S14_U05,a_only,1,false,1,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=answered_instead_of_withholding;evidence_outside_allowed_set
AMB_WV_S14_U05,b_only,0,true,2,false,yes,expand40_atomic_audit,tags=target_asserted_in_withhold_C;evidence_outside_allowed_ids
AMB_WV_S14_U05,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_condition;used_evidence_beyond_allowed_ev_A;assertion_contradicted_by_visible_session_14;failed_to_abstain
AMB_WV_S14_U05,distractor,0,false,2,false,yes,expand40_atomic_audit,tags=target_reason_not_asserted;substitute_rationale;key_fact_unused
AMB_WV_S14_U05,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S14_U07,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S14_U07,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=answered_when_withhold_required;ungrounded_target_assertion;evidence_outside_allowed_set
AMB_WV_S14_U07,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=answered_when_withhold_required;used_evidence_outside_allowed_set;asserted_target_without_allowed_support
AMB_WV_S14_U07,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;used_evidence_not_in_allowed_evidence_ids;failed_to_abstain
AMB_WV_S14_U07,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S14_U07,absence,0,true,0,false,yes,expand40_atomic_audit,tags=answered_instead_of_withholding;ungrounded_target_assertion;accepted_query_presupposition;evidence_outside_allowed_set
AMB_WV_S14_U08,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S14_U08,a_only,0,true,0,false,yes,expand40_atomic_audit,tags=failed_to_withhold;asserted_target_without_allowed_grounding;evidence_outside_allowed_ids
AMB_WV_S14_U08,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=answered_instead_of_withholding;ungrounded_normative_assertion;used_evidence_outside_allowed_set
AMB_WV_S14_U08,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_in_withhold_C;used_evidence_outside_allowed_set;mode_mismatch_expected_withhold
AMB_WV_S14_U08,distractor,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S14_U08,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S14_U09,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S14_U09,a_only,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_in_withhold_C;used_evidence_outside_allowed_ids;mode_answer_not_withhold
AMB_WV_S14_U09,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;cited_evidence_outside_allowed_ids
AMB_WV_S14_U09,link_broken,0,true,1,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;used_evidence_outside_allowed_evidence_ids;mode_answer_instead_of_withhold
AMB_WV_S14_U09,distractor,0,false,2,false,yes,expand40_atomic_audit,tags=target_not_asserted;omits_alternate_room_approval_gating;substituted_rationale_for_blocker
AMB_WV_S14_U09,absence,1,false,0,false,yes,expand40_atomic_audit,tags=generic_abstention_without_specific_blockers
AMB_WV_S14_U10,full,0,false,2,false,yes,expand40_atomic_audit,tags=target_not_asserted;wrong_rationale;missed_library_access_evidence
AMB_WV_S14_U10,a_only,1,false,1,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=mode_mismatch_answered_instead_of_withholding;evidence_outside_allowed_ids;non_target_rationale
AMB_WV_S14_U10,b_only,1,false,1,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=used_evidence_outside_allowed_ids;mode_answer_not_withhold
AMB_WV_S14_U10,link_broken,1,false,1,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=evidence_outside_allowed_ids
AMB_WV_S14_U10,distractor,0,false,2,false,yes,expand40_atomic_audit,tags=target_not_asserted;wrong_rationale;missed_supporting_evidence
AMB_WV_S14_U10,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S15_U02,full,1,true,2,false,yes,expand40_atomic_audit,
AMB_WV_S15_U02,a_only,1,false,0,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=mode_mismatch;used_disallowed_evidence;failed_to_withhold
AMB_WV_S15_U02,b_only,0,true,1,false,yes,expand40_atomic_audit,tags=target_asserted_under_withhold_C;evidence_outside_allowed_ids;insufficient_grounding
AMB_WV_S15_U02,link_broken,0,true,0,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;used_evidence_outside_allowed_ids;failed_to_abstain;allowed_fact_ev_A_never_cited
AMB_WV_S15_U02,distractor,1,true,1,false,yes,expand40_atomic_audit,
AMB_WV_S15_U02,absence,1,false,0,false,yes,expand40_atomic_audit,validator.condition_correct!=binary_correct | tags=wrong_mode;did_not_withhold;used_evidence_not_in_allowed_set;generic_advice
AMB_WV_S15_U03,full,0,true,0,false,yes,expand40_atomic_audit,tags=no_target_facts_cited;relied_on_non_allowed_sessions_9_and_17;ungrounded_target_assertion
AMB_WV_S15_U03,a_only,0,true,0,false,yes,expand40_atomic_audit,tags=target_asserted_under_withhold_C;used_evidence_outside_allowed_set;wrong_mode_answer_instead_of_withhold
AMB_WV_S15_U03,b_only,0,true,0,false,yes,expand40_atomic_audit,tags=asserted_target_in_withhold_condition;used_evidence_outside_allowed_ids;answered_instead_of_withholding
AMB_WV_S15_U03,link_broken,0,true,0,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;used_evidence_outside_allowed_ids;wrong_mode_answer_instead_of_withhold
AMB_WV_S15_U03,distractor,1,true,1,false,yes,expand40_atomic_audit,
AMB_WV_S15_U03,absence,1,false,0,false,yes,expand40_atomic_audit,
AMB_WV_S15_U04,full,1,true,0,false,yes,expand40_atomic_audit,tags=allowed_target_evidence_not_used
AMB_WV_S15_U04,a_only,0,true,0,false,yes,expand40_atomic_audit,tags=asserted_target_in_withhold_arm;used_evidence_outside_allowed_set;failed_to_abstain
AMB_WV_S15_U04,b_only,0,true,0,false,yes,expand40_atomic_audit,tags=asserted_target_under_withhold_C;used_evidence_outside_allowed_ids;mode_mismatch_answer_instead_of_withhold
